iso3,tl2_id,OLD_SH,WORKAGE_SH,YOUTH_SH,POP_CH,POP_T,POP_DENS,NETNAT_RATE,BIRTH_RA,DEATH_RA,NETMOB_ALL,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_TOT,BUILT_S__T,BUILT_S_CH__T,AIR_TEMP2M,AIR_TEMP2M_DIFF_1981_2010,PRECIP_SUM,PRECIP_SUM_DIFF_1981_2010,EXT_PRECIP_DAYS,EXT_PRECIP_DAYS_1981_2010,SOIL_MOIST_L1_CH_1981_2018,CDD_T_22C,CDD_T_22C_CH,HDD_T_15C,HDD_T_15C_CH,UCTCI_GT32,UCTCI_GT38,UCTCI_GT46,UCTCI_GT32_DIFF_1981_2010,UCTCI_GT38_DIFF_1981_2010,UCTCI_GT46_DIFF_1981_2010,FIRE_TOTAL_AREA_SH,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_RP100_POP_SH,FOREST_CH,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,MEDIAN_DISP_INC_PC_CURR_PR,MEDIAN_DISP_INC_PC_REAL_PPP,POV_RATE_60,UNEM_RA_15_64,UNEM_RA_15_MAX
MEX,ME07,6.3,61.27,31.93,,5543830.0,75.24,9.175188774600155,23.863400000000002,5.8648,,,,,95.35,83.02076149228019,56.18201436517687,22.382770977553324,0.5778994759814182,1.7892451642724865,-0.033039328228626465,19.01736048867174,0.6093489384998275,-0.8251666142107594,650.5681040703581,127.89884155577712,25.833403528251797,-7.548032068906951,205.70615195265046,21.58787391028455,0.041615798733005624,16.885038537374594,6.1600629481487985,0.020532026455913406,5.6841866550769,4.61780495114736,0.12638382670326,-0.6429049424811227,-36.781895781099216,-35.408707925409765,-23.733984422996954,-5.493585117310465,,,,,
MEX,ME08,7.46,67.16,25.18,,3741870.0,15.12,3.742894009021634,15.0408,7.5908,,,,,98.19,107.50168989043206,31.521216788593364,17.69539381542969,1.0893416663638447,0.42126290589858534,-0.08409913746402178,2.473357619814231,-0.2834310693612292,-9.072706499795224,497.6986004617778,132.30917970640752,667.2009015541425,-125.26149491934402,134.9106053116439,49.089225350241776,0.17022836385670864,18.0142285017332,14.421024752295807,0.08273443007370952,2.1069914158264402,6.23338975269823,0.0,-2.0038405388367226,-2.691264132210374,5.942176354664193,-7.2706616186326265,-0.3678587838797699,,,,,
MEX,ME09,11.1,70.85,17.95,,9209940.0,6206.16,1.127033900901913,11.106,8.796600000000002,,,,,91.67,33.98921477226004,5.331720075908858,14.507840040173523,0.92964937125858,1.4074639379649025,0.030017757248809042,10.013131813676909,2.0363891641889658,-2.4548187444918046,1.8215941576418924,0.5414514002177693,536.0917496439018,-209.5802431846636,8.4286242534002,0.0,0.0,4.187717868604953,0.0,0.0,2.2601321381828,14.82014359780306,0.0,-2.0982882385422372,33.25931766888735,48.565096183433496,20.93074807283125,19.803493086344687,,,,,
MEX,ME10,7.8,63.99,28.04,,1832650.0,14.86,6.080519307293867,18.2044,6.1924,,,,,97.53,93.51695839750336,45.410508904983665,17.434997591281373,1.1542939684944329,0.6483694346228204,-0.09030720390753948,4.116474189947984,-0.35617441403392025,-7.292172863199609,296.6055294551437,72.7373051373718,422.9853106370455,-162.4213400576626,124.25277032800336,36.88433515946726,0.016954799022702312,29.871394661523254,14.174555823389927,0.016822104239407765,3.4579471336445,29.47880123864271,0.0,-3.715043401150831,-8.178787406361685,-7.16401150874296,-13.8148231094781,-4.382175064117983,,,,,
MEX,ME11,7.57,65.71,26.52,,6166930.0,201.4,5.368337324521692,17.667,7.1164000000000005,,,,,94.51,84.50303127344262,60.325832594966144,17.88187122866667,0.8553992153684561,0.7347807426213364,0.01313798156281416,5.003471361860288,1.1183785221893952,-0.6682516171063857,54.688642588157485,18.186529379007226,128.94272000532368,-65.67027842222694,95.7618182959354,0.6259726127744274,0.0,32.713950952833116,-0.12847252313327934,0.0,2.45661680402642,15.02774972219851,0.0,3.6598814501677093,-16.52543230278669,-19.44047018485122,-9.569848197134446,-9.664537160017556,,,,,
MEX,ME12,8.95,61.42,29.23,,3540690.0,55.66,6.94245691268321,20.160800000000002,6.2428,,,,,92.42,68.80661608058094,62.13099943901401,22.79892383154816,0.3449300879762482,1.611773887396549,0.12857779583788556,17.606925737005316,3.2211017929381627,1.420931298182282,731.0143406105025,73.26999346225116,12.683506090428505,-5.602472053909936,268.50295730465444,30.218846841832566,0.00977268769191204,5.942436506283968,1.2923775145179555,-0.015612909688356987,16.189840186020017,5.85351751087435,0.24719465113173,-0.5453237471684694,-26.72418672810576,-23.714192477028995,-17.239273400377964,-4.8516721501536955,,,,,
MEX,ME13,8.59,65.64,25.67,,3082840.0,147.82,4.207165420855657,14.5506,6.3018,,,,,92.5,102.78646603864954,67.46969885657256,16.928200792124333,0.7493676108189213,1.0123497406359636,-0.11339219645213675,6.962199722753515,-0.8915316990998269,-4.66369556889129,148.83995598766612,31.46668723075163,271.1330670569836,-92.74340032934671,55.9869311575557,9.362319962327025,0.04387088408076162,9.511175639503943,3.401112719662976,0.0176217181208569,0.16727193447769,0.89917487751782,0.0,-0.8636745425994462,-30.70408721838088,-38.07789447397477,-21.22119691684809,-27.938913059704475,,,,,
MEX,ME14,8.22,65.97,25.2,,8348150.0,106.17,5.09508145788281,16.8502,6.816,,,,,96.44,82.13421067475694,60.12008461415471,20.22129973200024,0.710765907462276,1.1222429375350083,0.06655251599187108,9.146912013338255,1.1144708639118988,1.2300514025150866,218.2457488881882,41.46460511078891,43.21963521029033,-33.937740988182746,154.42512241450476,2.6586051918057736,0.0,39.70729779527955,0.7622687717883417,0.0,6.25503642480036,5.57011944158724,0.0015614881305050438,-5.356783725247543,2.2506593615681565,13.261605657535352,3.4825417750161676,7.899208242773908,,,,,
MEX,ME15,7.41,68.29,24.26,,16992400.0,760.87,3.6874863218033336,13.837799999999998,6.5236,,,,,94.4,58.82290132599692,51.1995026374488,15.509142955174692,0.8010491728335107,1.4159557858798697,0.04339140220842398,12.516430594900855,1.9462244987592494,-1.0296439246562983,241.89951284546888,-12.782636654731458,548.5302513852833,-190.25807331927223,21.28459385983043,0.5255219598941135,0.0,8.65028514901094,0.026563124336862188,-2.409941348021335e-06,2.2209634477405897,19.72807050484613,0.0,-0.17096496772389594,5.997392282543956,-21.90200807878676,-8.241724728281783,-1.9847918539583707,,,,,
MEX,ME16,8.9,63.68,27.34,,4748850.0,80.95,5.824917993370773,18.5998,7.0702,,,,,94.43,86.61811454422815,47.64735119423533,20.78735042178903,0.5706754278577805,1.3746059178168952,0.05258447132929014,13.04054220344681,1.7113902050706309,0.33927407675182764,583.6381816632875,49.27297429910884,129.5206487433755,-65.99624388963949,104.0405477080167,19.186586874584115,0.01494952947348186,13.930459519785703,3.22515201457347,-0.012762920881170495,5.24785675108237,10.3545875426251,0.00601984604939591,-2.4158707562941806,-31.681520309643282,-14.063287744053548,-22.02906278747859,-7.115927949780336,,,,,
